id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27991020,Prospect Suite,23388169,Jessica,Brooklyn,Prospect Heights,40.67752,-73.96977,Private room,200,2,33,2020-03-14,1.81,2,347
42529302,Large room with Queen bed,63516048,Melissa,Brooklyn,Dyker Heights,40.622279999999996,-74.00688000000001,Private room,60,5,1,2020-03-14,1.0,1,170
5115372,Comfy Room “1 Guest Only” Near LGA Airport,26432133,Danielle,Queens,East Elmhurst,40.763740000000006,-73.87103,Private room,54,1,531,2020-03-13,13.19,5,363
18173787,Cute Tiny Room “1 Guest Only” by LaGuardia Airport,26432133,Danielle,Queens,East Elmhurst,40.7638,-73.87238,Private room,48,1,519,2020-03-13,14.62,5,359
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,40.6787,-73.97261999999999,Private room,100,2,380,2020-03-13,3.82,3,0
6639120,King Bed in Trendy Lower East Side,240740,Ariel,Manhattan,Lower East Side,40.7192,-73.99139,Private room,140,1,262,2020-03-13,4.63,1,72
1656539,Lovely townhouse suite with private bath SALE!,93790,Ann,Manhattan,West Village,40.73089,-74.00301999999999,Private room,139,2,224,2020-03-13,2.84,2,67
23666777,Cheapest Bronx private room! Single only 2/5 train,82889379,Shera,Bronx,Woodlawn,40.89873,-73.86449,Private room,34,3,219,2020-03-13,9.48,6,15
11843397,Room 1/2 block from Central Park!,23994508,Erika,Manhattan,East Harlem,40.79533,-73.94764,Private room,70,2,210,2020-03-13,4.38,1,66
3286369,Close to JFK & LGA Feels like home,16608415,Smidty,Brooklyn,East New York,40.67517,-73.89814,Private room,135,1,196,2020-03-13,4.34,3,255
6989436,Spanish Harlem with terrace.,36644635,Ingrid,Manhattan,East Harlem,40.79229,-73.94962,Private room,80,2,174,2020-03-13,3.17,1,172
7860155,Private bedroom in the heart of NYC,24559181,Aldi,Manhattan,Upper East Side,40.76312,-73.96624,Private room,89,1,169,2020-03-13,3.08,3,354
7255577,Cool room Manhattan - Sleeps up to 3 guests,37579015,Ana,Manhattan,Hell's Kitchen,40.758340000000004,-73.99277,Private room,98,1,167,2020-03-13,2.93,3,97
30677069,NEWLY AVAILABLE Private Room only 2 BLOCKS off-LGA,229149810,Tussan,Queens,East Elmhurst,40.76965,-73.87387,Private room,51,1,164,2020-03-13,10.65,3,103
17717799,Neat En-suite  room attached   PRIVATE full bath,120767920,Jimmy &Cindy,Queens,Flushing,40.75708,-73.81268,Private room,51,2,146,2020-03-13,4.04,10,90
2285440,Prime Greenpoint * Big Space *  G Train Outside,11675390,Peter,Brooklyn,Greenpoint,40.73052,-73.95568,Private room,91,4,128,2020-03-13,2.79,1,76
24515198,Sunny bedroom in a designer apartment,185189643,Swann,Queens,Sunnyside,40.7461,-73.91983,Private room,75,3,121,2020-03-13,5.29,1,154
31123611,JFK Airport Great place to stay 6 minutes away,232251881,Lakshmee,Queens,Jamaica,40.66823,-73.78374000000001,Private room,40,1,119,2020-03-13,8.04,9,357
31218310,A HM AWAY FROM HM   Med-Vac NO CLEANING FEES—Q,233485864,Jeannie,Staten Island,New Dorp Beach,40.56662,-74.10444,Private room,50,1,119,2020-03-13,8.32,2,347
21460444,Cozy & close to Everything,155810605,Danielle,Manhattan,East Harlem,40.79047,-73.94865,Private room,100,2,109,2020-03-13,3.8,2,29
19429043,Single bed room facing south w/A/C,127357582,Shannon,Brooklyn,Bedford-Stuyvesant,40.681940000000004,-73.91832,Private room,32,2,108,2020-03-13,3.27,2,107
4988556,Sun-Filled Room near Central Park,12342828,Marco,Manhattan,East Harlem,40.79492,-73.94086999999999,Private room,84,4,104,2020-03-13,2.23,2,100
25309799,Jades place,4520673,Jade,Brooklyn,Williamsburg,40.71458,-73.96169,Private room,65,4,94,2020-03-13,4.33,2,24
34180216,JFK COMFY ROOM FOR TRAVELERS TO CRASH,232251881,Lakshmee,Queens,Jamaica,40.66794,-73.78483,Private room,39,1,93,2020-03-13,8.66,9,83
14421383,Beautiful Private Sunny Room with Backyard,27001949,Zach,Brooklyn,Bushwick,40.69514,-73.91903,Private room,70,3,86,2020-03-13,1.97,1,126
29440688,Neon Dreams - Private Bedroom in Chelsea,89120831,Shannon & Ryan,Manhattan,Chelsea,40.7487,-73.99678,Private room,100,2,84,2020-03-13,5.06,1,46
38018902,A quiet place like home,147202249,Gary,Queens,Far Rockaway,40.597840000000005,-73.75301999999999,Private room,40,1,75,2020-03-13,11.6,1,71
9990560,Loft Room in East Williamburg,8013847,Michole,Brooklyn,Williamsburg,40.70852,-73.94386999999999,Private room,53,2,58,2020-03-13,1.22,2,310
31675244,Large Bedroom in Excellent Chinatown/LES Apartment,41108789,Ulysses,Manhattan,Chinatown,40.71444,-73.99344,Private room,85,2,56,2020-03-13,4.2,1,45
32664634,Be happy in NYC everything close to you,194804585,Ines,Queens,Jackson Heights,40.75245,-73.88586,Private room,55,3,45,2020-03-13,5.0,2,11
38518194,HOME AWAY FROM HOME,293534640,Maria,Manhattan,Harlem,40.82691,-73.94806,Private room,76,1,45,2020-03-13,7.42,3,266
15420038,Wonderful private bedroom in East Williamsburg,98816024,Elisa,Brooklyn,Williamsburg,40.7111,-73.94351999999999,Private room,95,1,43,2020-03-13,1.04,1,55
